DisplayName,URL,Attribute,Access Token
Basic,https://{s}.tile.jawg.io/jawg-streets/{z}/{x}/{y}{r}.png?access-token={accessToken},"<a href=""http://jawg.io"" title=""Tiles Courtesy of Jawg Maps"" target=""_blank"">&copy; <b>Jawg</b>Maps</a> &copy; <a href=""https://www.openstreetmap.org/copyright"">OpenStreetMap</a> contributors",ZbfatVMXqkwePUctq85uzb20cxPlhBZEVGXBSm8mt2glUIYxtLepu1zsX4RbOAFC
Street,'https://tiles.stadiamaps.com/tiles/osm_bright/{z}/{x}/{y}{r}.png,"&copy; <a href=""https://stadiamaps.com/"">Stadia Maps</a>, &copy; <a href=""https://openmaptiles.org/"">OpenMapTiles</a> &copy; <a href=""http://openstreetmap.org"">OpenStreetMap</a> contributors",
Topography,https://{s}.tile.opentopomap.org/{z}/{x}/{y}.png,"Map data: &copy; <a href=""https://www.openstreetmap.org/copyright"">OpenStreetMap</a> contributors, <a href=""http://viewfinderpanoramas.org"">SRTM</a> | Map style: &copy; <a href=""https://opentopomap.org"">OpenTopoMap</a> (<a href=""https://creativecommons.org/licenses/by-sa/3.0/"">CC-BY-SA</a>)",
World,https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer/tile/{z}/{y}/{x},"Tiles &copy; Esri &mdash; Source: Esri, i-cubed, USDA, USGS, AEX, GeoEye, Getmapping, Aerogrid, IGN, IGP, UPR-EGP, and the GIS User Community",
